Clasificación;Subclasificacion;Monodroga;costo (entrada);Convenio Salida;Convenio Entrada;Transferencia;Lista Entrada;Lista Salida;Fecha;Cliente;Filial OSDE INTERIOR;Formulario;Numero;Cod Prov;Nombre Proveedor;Cod Prod;Nombre Producto;Cant;Precio;percepcion;percep_ib;iva; dto ;Importe;z;Costo Nta. Vta.;Costo total Nta. Vta.;Margen Reposicion;Margen Rep %;
SANTA FE;IAPOS;ONDANSETRON;237,01;IAPOS;IAPOS;NO;04/07/2022;212;13/10/2022;68358;;DEVOLUCION A;6000002109;60077;TUTEUR SACIFIA;22632;TIOSALIS 8 MG F.A.X 1;3;-2.000,00;0;0;0;57;-2.580,00;;287,01;861,03;-3.441,03;;
SANTA FE;IACURAR;LEUPROLIDE ACETATO;108.521,41;IACURAR;IAPOS;NO;07/07/2022;212;18/10/2022;65748;;DEVOLUCION A;6000002116;60057;MONTE VERDE SA;80553;ELIGARD 45 MG KIT X 1;1;-314.685,32;0;0;0;41;-185.664,34;;130.208,10;130.208,10;-315.872,44;;
SANTA FE;IAPOS;CICLOFOSFAMIDA;0,00;IAPOS;P.A.M.I.LI;SI;06/09/2022;212;19/10/2022;62872;;DEVOLUCION A;6000002117;60159;G P PHARM S.A.;7,79801E+12;CICLOFOSFAMIDA FILAXIS 1 G X 1 AMP.;2;-6.000,00;0;0;0;30;-8.400,00;;2.879,09;5.758,19;-14.158,19;;
SANTA FE;IAPOS;AZACITIDINA;0,00;IAPOS;IOMA;SI;06/09/2022;212;20/10/2022;62177;;DEVOLUCION A;6000002122;60010;BIOPROFARMA BAGO S.A.;50121;MATURUS 100 MG F.A.X. 1;10;-29.350,00;0;0;0;35;-190.775,00;;16.858,13;168.581,31;-359.356,31;;
CTACTE;CTACTE;TOXINA BOTULINICA TIPO A;42.880,55;CTACTE;OSDE;SI;16/09/2022;212;21/10/2022;68853;;DEVOLUCION A;6000002123;60001;ALLERGAN PROD.FARMACEUTICOS SA;44664;BOTOX 200 U VIAL X 1;1;-90.857,90;0;0;0;27;-66.326,27;;42.880,95;42.880,95;-109.207,22;;
SANTA FE;IAPOS;VINCRISTINA;1.419,67;IAPOS;OSDE;SI;12/10/2022;212;27/10/2022;60238;;DEVOLUCION A;6000002128;60235;LABORATORIO KEMEX SA;53236;VINCRISTINA KEMEX  1 MG INY.A.X 1;1;-6.541,08;0;0;0;25;-4.905,81;;1.625,39;1.625,39;-6.531,20;;
SANTA FE;IAPOS;VINCRISTINA;1.419,67;IAPOS;OSDE;SI;12/10/2022;212;27/10/2022;60238;;DEVOLUCION A;6000002128;60235;LABORATORIO KEMEX SA;53236;VINCRISTINA KEMEX  1 MG INY.A.X 1;2;-6.541,08;0;0;0;25;-9.811,62;;1.625,39;3.250,78;-13.062,40;;
SANTA FE;IAPOS;VINCRISTINA;1.625,39;IAPOS;OSDE;SI;12/10/2022;212;27/10/2022;60238;;DEVOLUCION A;6000002128;60235;LABORATORIO KEMEX SA;53236;VINCRISTINA KEMEX  1 MG INY.A.X 1;3;-6.541,08;0;0;0;25;-14.717,43;;1.625,39;4.876,17;-19.593,60;;
CTACTE;CTACTE;TIRAS REACTIVAS;584,07;CTACTE;PM_CUARENT;SI;11/04/2022;212;27/10/2022;800001;;DEVOLUCION A;6000002129;21458;DLD MEDICAL GROUP INC.;42635;PRODIGY EXC 360 TS X TM TIRAS REACT. CAJA X 50;10;-7.092,56;0;0;7.188,03;51,74;-34.228,70;;2.093,36;20.933,60;-55.162,30;;
CTACTE;PATRONESCA;BICALUTAMIDA;890,00;PATRONESCA;CCESPECIAL;SI;17/08/2022;210;03/10/2022;40157;;FACTURA A;6000335152;60055;MICROSULES ARGENTINA SA;33019;FINABAND 50 MG COMP X 30;1;9.721,96;0;0;0;88,26;1.141,07;;890,00;890,00;251,07;22,00%;
CTACTE;PATRONESCA;ELVITEGRAVIR+EMTRICITAB+TENOF ALAFENAMIDA+COBICIST;37.839,36;PATRONESCA;OSMATA;SI;27/05/2022;211;03/10/2022;40157;;FACTURA A;6000335154;60034;GADOR SA;53984;GENVOYA COMP. REC X 30;1;111.298,64;0;0;0;46,95;59.043,93;;47.182,56;47.182,56;11.861,37;20,10%;
CTACTE;PATRONESCA;TENOFOVIR + EMTRICITABINA + BICTEGRAVIR;63.480,95;PATRONESCA;OSDE;SI;18/07/2022;211;03/10/2022;40157;;FACTURA A;6000335156;60034;GADOR SA;56051;BIKTARVY COMP. REC. X 30;1;108.059,41;0;0;0;46,95;57.325,52;;47.412,70;47.412,70;9.912,82;17,30%;
CTACTE;PATRONESCA;EMTRICIT+TENOF DISOPROXIL FUMARATO+ELVITE+COBICIS;72.821,29;PATRONESCA;OSMATA;SI;15/06/2022;211;03/10/2022;40157;;FACTURA A;6000335157;60034;GADOR SA;51598;STRIBILD COMP. REC. X 30;1;130.156,79;0;0;0;20,42;103.573,57;;85.662,40;85.662,40;17.911,17;17,30%;
CTACTE;CCESPECIAL;TACROLIMUS;90.397,77;CCESPECIAL;OSMATA;SI;25/08/2022;210;03/10/2022;40192;;FACTURA A;6000335242;60034;GADOR SA;41616;PROGRAF XL 5 MG CAPS. ACC. PROL. X 50;1;105.256,25;0;0;0;0;105.256,25;;91.572,94;91.572,94;13.683,31;13,00%;
CTACTE;CCESPECIAL;TACROLIMUS;91.572,94;CCESPECIAL;OSMATA;SI;25/08/2022;210;03/10/2022;40192;;FACTURA A;6000335242;60034;GADOR SA;41616;PROGRAF XL 5 MG CAPS. ACC. PROL. X 50;1;105.256,25;0;0;0;0;105.256,25;;91.572,94;91.572,94;13.683,31;13,00%;
CTACTE;CIRMED_MAT;LANCETAS;397,61;CIRMED_MAT;CIRMED_MAT;NO;11/08/2022;210;04/10/2022;40236;;FACTURA A;6000335428;60243;ROFINA SA X CO ROCHE DIABETES;50264;ACCU-CHEK FASTCLIK LANCETAS X 24;1;720,66;0;0;122,33;19,17;582,51;;427,24;427,24;155,27;26,70%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.196,98;CIRMED_MAT;CIRMED_MAT;NO;22/08/2022;210;04/10/2022;40236;;FACTURA A;6000335428;60243;ROFINA SA X CO ROCHE DIABETES;53986;ACCU-CHEK GUIDE  X 50 TIRAS REAC.;1;6.622,31;0;0;799,23;42,53;3.805,84;;3.433,57;3.433,57;372,27;9,80%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;584,07;CIRMED_MAT;PM_CUARENT;SI;11/04/2022;211;04/10/2022;40236;;FACTURA A;6000335429;21458;DLD MEDICAL GROUP INC.;42635;PRODIGY EXC 360 TS X TM TIRAS REACT. CAJA X 50;1;7.092,56;0;0;526,81;64,63;2.508,64;;1.956,57;1.956,57;552,07;22,00%;
CTACTE;CIRMED_MAT;LANCETAS;1.384,85;CIRMED_MAT;CCESPECIAL;SI;14/07/2022;211;04/10/2022;40236;;FACTURA A;6000335429;66560;GLOBALF X CO TEMIS LOSTALO;5,016E+12;MICROLET LANCETAS X 100 UNIDADES;1;2.461,66;0;0;413,56;20;1.969,33;;1.529,63;1.529,63;439,70;22,30%;
CTACTE;CIRMED_MAT;INSULINA GLARGINA;18.717,62;CIRMED_MAT;CCESPECIAL;SI;09/08/2022;211;04/10/2022;40236;;FACTURA A;6000335430;60131;SANOFI - AVENTIS ARG. S.A.;41517;INSULINA LANTUS SOLOSTAR 100UI/ML LAP. PRELL. X 5;2;38.503,39;0;0;0;35,99;49.292,04;;21.110,48;42.220,96;7.071,08;14,30%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;584,07;CIRMED_MAT;PM_CUARENT;SI;11/04/2022;211;04/10/2022;40236;;FACTURA A;6000335430;21458;DLD MEDICAL GROUP INC.;42635;PRODIGY EXC 360 TS X TM TIRAS REACT. CAJA X 50;1;7.092,56;0;0;526,81;64,63;2.508,64;;1.956,57;1.956,57;552,07;22,00%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;584,07;CIRMED_MAT;PM_CUARENT;SI;11/04/2022;211;04/10/2022;40236;;FACTURA A;6000335431;21458;DLD MEDICAL GROUP INC.;42635;PRODIGY EXC 360 TS X TM TIRAS REACT. CAJA X 50;2;7.092,56;0;0;1.053,63;64,63;5.017,28;;1.956,57;3.913,14;1.104,14;22,00%;
CTACTE;CIRMED_MAT;INSULINA ASPARTATO;13.809,13;CIRMED_MAT;CCESPECIAL;SI;16/08/2022;211;04/10/2022;40236;;FACTURA A;6000335432;60067;ROFINA SA X C.O. NOVO NORDISK;5069483;INSULINA NOVOMIX 30 FLEXPEN 100 UI LAPICERAS X 5 X;1;29.184,56;0;0;0;35,46;18.835,72;;15.574,49;15.574,49;3.261,23;17,30%;
CTACTE;CIRMED_MAT;INSULINA ASPARTATO;13.809,13;CIRMED_MAT;CCESPECIAL;SI;16/08/2022;211;04/10/2022;40236;;FACTURA A;6000335432;60067;ROFINA SA X C.O. NOVO NORDISK;5069483;INSULINA NOVOMIX 30 FLEXPEN 100 UI LAPICERAS X 5 X;1;29.184,56;0;0;0;35,46;18.835,72;;15.574,49;15.574,49;3.261,23;17,30%;
CTACTE;CIRMED_MAT;LANCETAS;397,61;CIRMED_MAT;CIRMED_MAT;NO;11/08/2022;211;04/10/2022;40236;;FACTURA A;6000335433;60243;ROFINA SA X CO ROCHE DIABETES;50264;ACCU-CHEK FASTCLIK LANCETAS X 24;1;774,38;0;0;131,45;19,17;625,93;;456,88;456,88;169,05;27,00%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.196,98;CIRMED_MAT;CIRMED_MAT;NO;19/08/2022;211;04/10/2022;40236;;FACTURA A;6000335433;60243;ROFINA SA X CO ROCHE DIABETES;5000182;ACCU-CHEK PERFORMA 50;1;7.112,40;0;0;858,37;42,53;4.087,49;;3.673,75;3.673,75;413,74;10,10%;
CTACTE;CIRMED_MAT;INSULINA GLARGINA;18.717,62;CIRMED_MAT;CCESPECIAL;SI;17/08/2022;211;04/10/2022;40236;;FACTURA A;6000335434;60131;SANOFI - AVENTIS ARG. S.A.;41517;INSULINA LANTUS SOLOSTAR 100UI/ML LAP. PRELL. X 5;1;38.503,39;0;0;0;35,99;24.646,02;;21.110,48;21.110,48;3.535,54;14,30%;
CTACTE;CIRMED_MAT;INSULINA GLULISINA;15.703,84;CIRMED_MAT;CCESPECIAL;SI;17/08/2022;211;04/10/2022;40236;;FACTURA A;6000335434;60131;SANOFI - AVENTIS ARG. S.A.;41518;INSULINA APIDRA SOLOSTAR 100UI/ML LAP. PRELL. X 5;1;32.303,85;0;0;0;35,99;20.677,69;;17.711,42;17.711,42;2.966,27;14,30%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;584,07;CIRMED_MAT;PM_CUARENT;SI;11/04/2022;211;04/10/2022;40236;;FACTURA A;6000335434;21458;DLD MEDICAL GROUP INC.;42635;PRODIGY EXC 360 TS X TM TIRAS REACT. CAJA X 50;1;7.092,56;0;0;526,81;64,63;2.508,64;;1.956,57;1.956,57;552,07;22,00%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;584,07;CIRMED_MAT;PM_CUARENT;SI;11/04/2022;211;04/10/2022;40236;;FACTURA A;6000335435;21458;DLD MEDICAL GROUP INC.;42635;PRODIGY EXC 360 TS X TM TIRAS REACT. CAJA X 50;1;7.092,56;0;0;526,81;64,63;2.508,64;;1.956,57;1.956,57;552,07;22,00%;
CTACTE;CIRMED_MAT;LANCETAS;0,00;CIRMED_MAT;CTACTE;SI;13/05/2022;211;04/10/2022;40236;;FACTURA A;6000335436;60243;ROFINA SA X CO ROCHE DIABETES;50264;ACCU-CHEK FASTCLIK LANCETAS X 24;1;774,38;0;0;131,45;19,17;625,93;;456,88;456,88;169,05;27,00%;
CTACTE;CIRMED_MAT;INSULINA HUMANA;7.930,84;CIRMED_MAT;CCESPECIAL;SI;19/08/2022;211;04/10/2022;40236;;FACTURA A;6000335436;60067;ROFINA SA X C.O. NOVO NORDISK;4508833;INSULINA INSULATARD FLEXPEN HM 100UI LAP.PRELL X 5;1;16.761,22;0;0;0;35,46;10.817,69;;8.944,71;8.944,71;1.872,98;17,30%;
CTACTE;CIRMED_MAT;INSULINA ASPARTATO;13.809,13;CIRMED_MAT;CCESPECIAL;SI;16/08/2022;211;04/10/2022;40236;;FACTURA A;6000335436;60067;ROFINA SA X C.O. NOVO NORDISK;5066793;INSULINA NOVORAPID FLEXPEN 100 UI LAPICERAS X 5 X;1;29.184,56;0;0;0;35,46;18.835,72;;15.574,49;15.574,49;3.261,23;17,30%;
CTACTE;CIRMED_MAT;DISPOSITIVO PARA APLIC. INSULINA;1.906,20;CIRMED_MAT;CCESPECIAL;SI;26/08/2022;211;04/10/2022;40236;;FACTURA A;6000335437;60067;ROFINA SA X C.O. NOVO NORDISK;54108;AGUJAS NOVOFINE 32 G 4 MM AGUJAS X 100;1;3.267,65;0;0;656,7;4,3;3.127,14;;2.149,89;2.149,89;977,25;31,30%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;584,07;CIRMED_MAT;PM_CUARENT;SI;11/04/2022;211;04/10/2022;40236;;FACTURA A;6000335438;21458;DLD MEDICAL GROUP INC.;42635;PRODIGY EXC 360 TS X TM TIRAS REACT. CAJA X 50;1;7.092,56;0;0;526,81;64,63;2.508,64;;1.956,57;1.956,57;552,07;22,00%;
CTACTE;CIRMED_MAT;INSULINA GLARGINA;17.418,77;CIRMED_MAT;OSDE;SI;22/08/2022;211;04/10/2022;40236;;FACTURA A;6000335439;60131;SANOFI - AVENTIS ARG. S.A.;50984;INSULINA OPTISULIN 100 UI/ ml lap. Prell x 5 X 3 m;1;38.857,25;0;0;0;39,26;23.601,89;;20.679,56;20.679,56;2.922,33;12,40%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.196,98;CIRMED_MAT;CIRMED_MAT;NO;19/08/2022;211;04/10/2022;40236;;FACTURA A;6000335439;60243;ROFINA SA X CO ROCHE DIABETES;5000182;ACCU-CHEK PERFORMA 50;1;7.112,40;0;0;858,37;42,53;4.087,49;;3.673,75;3.673,75;413,74;10,10%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;584,07;CIRMED_MAT;PM_CUARENT;SI;11/04/2022;211;04/10/2022;40236;;FACTURA A;6000335440;21458;DLD MEDICAL GROUP INC.;42635;PRODIGY EXC 360 TS X TM TIRAS REACT. CAJA X 50;2;7.092,56;0;0;1.053,63;64,63;5.017,28;;1.956,57;3.913,14;1.104,14;22,00%;
CTACTE;CIRMED_MAT;INSULINA GLARGINA;16.958,25;CIRMED_MAT;CCESPECIAL;SI;06/09/2022;211;04/10/2022;40236;;FACTURA A;6000335440;60131;SANOFI - AVENTIS ARG. S.A.;53290;INSULINA TOUJEO 300 U/ML X 3 LAP.;1;34.884,25;0;0;0;35,99;22.329,41;;19.126,19;19.126,19;3.203,22;14,30%;
CTACTE;CIRMED_MAT;INSULINA GLARGINA;18.717,62;CIRMED_MAT;CCESPECIAL;SI;19/08/2022;211;04/10/2022;40236;;FACTURA A;6000335441;60131;SANOFI - AVENTIS ARG. S.A.;41517;INSULINA LANTUS SOLOSTAR 100UI/ML LAP. PRELL. X 5;1;38.503,39;0;0;0;35,99;24.646,02;;21.110,48;21.110,48;3.535,54;14,30%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.433,57;CIRMED_MAT;CIRMED_MAT;NO;09/09/2022;211;04/10/2022;40236;;FACTURA A;6000335441;60243;ROFINA SA X CO ROCHE DIABETES;53986;ACCU-CHEK GUIDE  X 50 TIRAS REAC.;2;7.112,40;0;0;1.716,75;42,53;8.174,99;;3.673,75;7.347,51;827,48;10,10%;
CTACTE;CIRMED_MAT;DISPOSITIVO PARA APLIC. INSULINA;1.827,62;CIRMED_MAT;CCESPECIAL;SI;28/07/2022;211;04/10/2022;40236;;FACTURA A;6000335442;60067;ROFINA SA X C.O. NOVO NORDISK;39905;AGUJAS NOVOFINE 32 G 6 MM TIP AGUJAS X 100;1;3.267,65;0;0;656,7;4,3;3.127,14;;2.149,89;2.149,89;977,25;31,30%;
CTACTE;CIRMED_MAT;EFAVIRENZ;0,00;CIRMED_MAT;IOMA;SI;07/09/2022;211;04/10/2022;40236;;FACTURA A;6000335443;60242;GLOBALF X CO LKM;38733;SULFINAV 600 MG COMP. X 30;1;2.300,00;0;0;0;0;2.300,00;;1.972,52;1.972,52;327,48;14,20%;
CTACTE;CIRMED_MAT;LAMIVUDINA+TENOFOVIR DISOPROXIL FUMARATO;2.500,13;CIRMED_MAT;CCESPECIAL;SI;07/07/2022;211;04/10/2022;40236;;FACTURA A;6000335443;66584;LABORATORIO ELEA PHOENIX S.A.;56744;LISOTYR COMP. REC X 30;1;2.910,00;0;0;0;0;2.910,00;;2.499,99;2.499,99;410,01;14,10%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.196,98;CIRMED_MAT;CIRMED_MAT;NO;19/08/2022;211;04/10/2022;40236;;FACTURA A;6000335444;60243;ROFINA SA X CO ROCHE DIABETES;5000182;ACCU-CHEK PERFORMA 50;2;7.112,40;0;0;1.716,75;42,53;8.174,99;;3.673,75;7.347,51;827,48;10,10%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.035,79;CIRMED_MAT;CIRMED_MAT;NO;19/07/2022;211;04/10/2022;40236;;FACTURA A;6000335445;60243;ROFINA SA X CO ROCHE DIABETES;4,01563E+12;ACCU-CHEK ACTIVE GLUC TIRAS REAC. X 50;1;7.112,40;0;0;858,37;42,53;4.087,49;;3.673,75;3.673,75;413,74;10,10%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.433,57;CIRMED_MAT;CIRMED_MAT;NO;09/09/2022;211;04/10/2022;40236;;FACTURA A;6000335446;60243;ROFINA SA X CO ROCHE DIABETES;53986;ACCU-CHEK GUIDE  X 50 TIRAS REAC.;2;7.112,40;0;0;1.716,75;42,53;8.174,99;;3.673,75;7.347,51;827,48;10,10%;
CTACTE;CIRMED_MAT;INSULINA HUMANA;7.930,84;CIRMED_MAT;CCESPECIAL;SI;24/08/2022;211;04/10/2022;40236;;FACTURA A;6000335446;60067;ROFINA SA X C.O. NOVO NORDISK;4508833;INSULINA INSULATARD FLEXPEN HM 100UI LAP.PRELL X 5;4;16.761,22;0;0;0;35,46;43.270,77;;8.944,71;35.778,84;7.491,93;17,30%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.433,57;CIRMED_MAT;CIRMED_MAT;NO;09/09/2022;211;04/10/2022;40236;;FACTURA A;6000335447;60243;ROFINA SA X CO ROCHE DIABETES;53986;ACCU-CHEK GUIDE  X 50 TIRAS REAC.;2;7.112,40;0;0;1.716,75;42,53;8.174,99;;3.673,75;7.347,51;827,48;10,10%;
CTACTE;CIRMED_MAT;INSULINA GLARGINA;13.289,19;CIRMED_MAT;CCESPECIAL;SI;26/07/2022;211;04/10/2022;40236;;FACTURA A;6000335447;60024;ELI LILLY INTERAM. INC SUC ARG;6419552;INSULINA BASAGLAR KWIKPEN 100 U/ML INY PRELL X 5X3;1;36.714,18;0;0;0;44,74;20.288,26;;14.761,63;14.761,63;5.526,63;27,20%;
CTACTE;CIRMED_MAT;INSULINA GLARGINA;13.289,19;CIRMED_MAT;CCESPECIAL;SI;26/07/2022;211;04/10/2022;40236;;FACTURA A;6000335447;60024;ELI LILLY INTERAM. INC SUC ARG;6419552;INSULINA BASAGLAR KWIKPEN 100 U/ML INY PRELL X 5X3;1;36.714,18;0;0;0;44,74;20.288,26;;14.761,63;14.761,63;5.526,63;27,20%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.196,98;CIRMED_MAT;CIRMED_MAT;NO;19/08/2022;211;04/10/2022;40236;;FACTURA A;6000335448;60243;ROFINA SA X CO ROCHE DIABETES;5000182;ACCU-CHEK PERFORMA 50;1;7.112,40;0;0;858,37;42,53;4.087,49;;3.673,75;3.673,75;413,74;10,10%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.433,57;CIRMED_MAT;CIRMED_MAT;NO;09/09/2022;211;04/10/2022;40236;;FACTURA A;6000335449;60243;ROFINA SA X CO ROCHE DIABETES;53986;ACCU-CHEK GUIDE  X 50 TIRAS REAC.;1;7.112,40;0;0;858,37;42,53;4.087,49;;3.673,75;3.673,75;413,74;10,10%;
CTACTE;CIRMED_MAT;INSULINA GLARGINA;18.717,62;CIRMED_MAT;CCESPECIAL;SI;19/08/2022;211;04/10/2022;40236;;FACTURA A;6000335450;60131;SANOFI - AVENTIS ARG. S.A.;41517;INSULINA LANTUS SOLOSTAR 100UI/ML LAP. PRELL. X 5;2;38.503,39;0;0;0;35,99;49.292,04;;21.110,48;42.220,96;7.071,08;14,30%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.196,98;CIRMED_MAT;CIRMED_MAT;NO;19/08/2022;211;04/10/2022;40236;;FACTURA A;6000335450;60243;ROFINA SA X CO ROCHE DIABETES;5000182;ACCU-CHEK PERFORMA 50;2;7.112,40;0;0;1.716,75;42,53;8.174,99;;3.673,75;7.347,51;827,48;10,10%;
CTACTE;CIRMED_MAT;INSULINA ASPARTATO;13.809,13;CIRMED_MAT;CCESPECIAL;SI;19/08/2022;211;04/10/2022;40236;;FACTURA A;6000335450;60067;ROFINA SA X C.O. NOVO NORDISK;5066793;INSULINA NOVORAPID FLEXPEN 100 UI LAPICERAS X 5 X;1;29.184,56;0;0;0;35,46;18.835,72;;15.574,49;15.574,49;3.261,23;17,30%;
CTACTE;CIRMED_MAT;INSULINA DEGLUDEC;20.043,52;CIRMED_MAT;CCESPECIAL;SI;10/09/2022;211;04/10/2022;40236;;FACTURA A;6000335451;60067;ROFINA SA X C.O. NOVO NORDISK;6276972;INSULINA TRESIBA FLEXTOUCH 100 U/ML LAP. PRELL X 5;1;39.812,48;0;0;0;35,46;25.694,97;;21.246,13;21.246,13;4.448,84;17,30%;
CTACTE;CIRMED_MAT;LANCETAS;427,24;CIRMED_MAT;CIRMED_MAT;NO;09/09/2022;211;04/10/2022;40236;;FACTURA A;6000335452;60243;ROFINA SA X CO ROCHE DIABETES;50264;ACCU-CHEK FASTCLIK LANCETAS X 24;1;774,38;0;0;131,45;19,17;625,93;;456,88;456,88;169,05;27,00%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.433,57;CIRMED_MAT;CIRMED_MAT;NO;09/09/2022;211;04/10/2022;40236;;FACTURA A;6000335452;60243;ROFINA SA X CO ROCHE DIABETES;53986;ACCU-CHEK GUIDE  X 50 TIRAS REAC.;1;7.112,40;0;0;858,37;42,53;4.087,49;;3.673,75;3.673,75;413,74;10,10%;
CTACTE;CIRMED_MAT;INSULINA GLARGINA;18.717,62;CIRMED_MAT;CCESPECIAL;SI;06/09/2022;211;04/10/2022;40236;;FACTURA A;6000335453;60131;SANOFI - AVENTIS ARG. S.A.;41517;INSULINA LANTUS SOLOSTAR 100UI/ML LAP. PRELL. X 5;2;38.503,39;0;0;0;35,99;49.292,04;;21.110,48;42.220,96;7.071,08;14,30%;
CTACTE;CIRMED_MAT;TIRAS REACTIVAS;3.433,57;CIRMED_MAT;CIRMED_MAT;NO;09/09/2022;211;04/10/2022;40236;;FACTURA A;6000335453;60243;ROFINA SA X CO ROCHE DIABETES;53986;ACCU-CHEK GUIDE  X 50 TIRAS REAC.;2;7.112,40;0;0;1.716,75;42,53;8.174,99;;3.673,75;7.347,51;827,48;10,10%;
